infinitive	stem change	English
limitar	limit-	to limit
limpiar	limpi-	to clean, wipe
luchar	luch-	to fight, battle, wage war
llamar	llam-	to call
llenar	llen-	to fill, make full
llevar	llev-	to take (literally), wear
llorar	llor-	to cry, weep
lloviznar	llovizn-	to rain lightly, drizzle
madurar	madur-	to mature, ripen
malfuncionar	malfuncion-	to malfunction
maltratar	maltrat-	to mistreat, abuse
manchar	manch-	to spot, stain, soil
mandar	mand-	to send, order, command
manejar	manej-	to drive, manage, handle, operate (vehicle)
manipular	manipul-	to manipulate
martillar	martill-	to hammer, pound with a hammer
mejorar	mejor-	to make better, get better
mencionar	mencion-	to mention
mirar	mir-	to watch, see, look
moderar	moder-	to moderate
mojar	moj-	to moisten, wet, make wet
molestar	molest-	to annoy, bother, disturb, bug
montar	mont-	to mount, ride
mudarse	mud-	to move, relocate
nadar	nad-	to swim
necesitar	necesit-	to need
nombrar	nombr-	to name
notar	not-	to note
nublarse	nubl-	to cloud up, get cloudy
observar	observ-	to observe
ocupar	ocup-	to occupy
odiar	odi-	to hate
olvidar	olvid-	to forget
operar	oper-	to operate, run
opinar	opin-	to opine, to be of the opinion
optar	opt-	to opt
orar	or-	to pray
parar	par-	to stand, come to a stand-still, stop
participar	particip-	to participate
pasar	pas-	to pass, spend (time)
patinar	patin-	to skate
patrullar	patrull-	to patrol
peinar	pein-	to comb
pelear	pele-	to fight
penetrar	penetr-	to penetrate
perdonar	perdon-	to pardon, excuse, forgive
perdurar	perdur-	to last, last a long time
perfeccionar	perfeccion-	to perfect
perforar	perfor-	to perforate
perpetrar	perpetr-	to perpetrate
perturbar	perturb-	to perturb
pesar	pes-	to weigh, be weighty
pintar	pint-	to paint
pitar	pit-	to toot, honk, blow a whistle, whistle
planchar	planch-	to iron
portar	port-	to bear, carry, port, comport
precisar	precis-	to state precisely, specify
preguntar	pregunt-	to ask (a question)
preocuparse	preocup-	to preoccupy, concern
preparar	prepar-	to prepare, fix, get ready
presentar	present-	to present
prestar	prest-	to lend, let borrow, loan
privar	priv-	to deprive, impede, prohibit, forbid
procrear	procre-	to procreate
programar	program-	to program
progresar	progres-	to progress
pronunciar	pronunci-	to pronounce
proporcionar	proporcion-	to proportion
protestar	protest-	to protest
proyectar	proyect-	to project
pulsar	puls-	to pulsate, beat
quebrar	quebr-	to break
quedar	qued-	to stay
quejarse	quej-	to complain, gripe
quemar	quem-	to burn
quitar	quit-	to remove, take off, take away
regañar	regañ-	to nag, gripe, snarl (dog)
regatear	regate-	to barter
regresar	regres-	to return, go back, give back
rentar	rent-	to rent
reparar	repar-	to repair, fix
respetar	respet-	to respect
resultar	result-	to result
saludar	salud-	to greet, say hello
señalar	señal-	to wave, signal, stamp, show, point out, indicate
terminar	termin-	to terminate, end, finish, stop
tirar	tir-	to throw, pull, draw
tolerar	toler-	to tolerate, put up with, endure
tomar	tom-	to drink, to take (figuratively)
trabajar	trabaj-	to work, labor
traicionar	traicion-	to betray
transformar	transform-	to transform
transportar	transport-	to transport
trasladar	traslad-	to move, transfer, remove (from one place to another)
tratar	trat-	to treat, try
triunfar	triunf-	to triumph, be triumphant
untar	unt-	to anoint, grease, oil, smear, ""bribe""
usar	us-	to use
viajar	viaj-	to travel, take a trip
vibrar	vibr-	to vibrate
vigilar	vigil-	to watch over, vigil
vincular	vincul-	to conquer
violar	viol-	to violate
visitar	visit-	to visit
voltear	volte-	to turn
vomitar	vomit-	to vomit, puke, upchuck
votar	vot-	to vote
yodurar	yodur-	to iodize
zapatear	zapate-	to give a shoe to, kick
zonar	zon-	to zone
